"facility_id","access_level","population_count"
18360,"121-180",10939.6517845802
18360,"31-60",5102.34645361081
18360,"61-120",45027.0593346804
18360,"<30",139054.915535793
18360,">180",6013.1627743952
18764,"121-180",10677.9364314564
18764,"31-60",5175.44052806124
18764,"61-120",44717.0572864786
18764,"<30",139585.00455147
18764,">180",5981.6970855929
18765,"121-180",13656.0820107348
18765,"31-60",3905.22515771538
18765,"61-120",164646.112364609
18765,"<30",14961.7949557304
18765,">180",8967.92139426991
18813,"121-180",10678.6227916293
18813,"31-60",5181.35923059657
18813,"61-120",44824.8294473886
18813,"<30",139496.921106562
18813,">180",5955.40330688283
18846,"121-180",9273.04841505364
18846,"31-60",13984.3606884964
18846,"61-120",171453.928637933
18846,"<30",6175.96330725029
18846,">180",5249.83483432606
19969,"121-180",10900.4471223094
19969,"31-60",5353.85105853155
19969,"61-120",44632.9634506479
19969,"<30",139284.691387549
19969,">180",5965.18286402151
20000,"121-180",10515.7640043236
20000,"31-60",5071.63955753669
20000,"61-120",45109.735231474
20000,"<30",139496.921106562
20000,">180",5943.07598316297
20076,"121-180",13063.3842568286
20076,"31-60",9559.73137515411
20076,"61-120",41096.4712650105
20076,"<30",134143.270983838
20076,">180",8274.27800222859
20773,"121-180",13138.1678312309
20773,"31-60",4321.21743270755
20773,"61-120",164275.214799922
20773,"<30",15617.8718538806
20773,">180",8784.66396531835
20818,"121-180",13761.3564034961
20818,"31-60",5727.19816739857
20818,"61-120",43256.8298251443
20818,"<30",135306.474516027
20818,">180",8085.27697099373
20966,"121-180",13399.8229247965
20966,"31-60",51543.9409914613
20966,"61-120",41307.5623525642
20966,"<30",90871.4952480048
20966,">180",9014.3143662326
21066,"121-180",149136.111186612
21066,"31-60",2146.066217646
21066,"61-120",11775.7155588828
21066,"<30",3139.70571811125
21066,">180",39939.5372018069
21362,"121-180",148405.827732973
21362,"31-60",8304.36777320877
21362,"61-120",33172.0358964913
21362,"<30",5680.52822074667
21362,">180",10574.3762596399
21363,"121-180",129387.05236068
21363,"31-60",3049.38412009552
21363,"61-120",11259.6284873448
21363,"<30",2262.11322701722
21363,">180",60178.9576879218
21365,"121-180",7992.50428891554
21365,"31-60",10991.1366004869
21365,"61-120",170779.985164162
21365,"<30",11356.49601271
21365,">180",5017.01381678507
21366,"121-180",163875.61082229
21366,"31-60",1185.21659767628
21366,"61-120",17987.9570496045
21366,"<30",0
21366,">180",23088.3514134884
21367,"121-180",22998.0879450776
21367,"31-60",82632.2056106254
21367,"61-120",88233.4954392686
21367,"<30",0
21367,">180",12273.3468880877
21368,"121-180",15272.3299645968
21368,"31-60",63967.5783458762
21368,"61-120",117198.754360206
21368,"<30",0
21368,">180",9698.47321237996
21369,"121-180",12977.573555015
21369,"31-60",149211.115561221
21369,"61-120",32991.9946702421
21369,"<30",1798.6286867708
21369,">180",9157.82340981066
21418,"121-180",13414.6349775083
21418,"31-60",15016.5280529782
21418,"61-120",165434.128891993
21418,"<30",5157.18666838109
21418,">180",7114.65729219839
21419,"121-180",10606.7177715041
21419,"31-60",15426.356263876
21419,"61-120",165337.873063508
21419,"<30",8405.11743322015
21419,">180",6361.07135095075
22409,"121-180",13399.8229247965
22409,"31-60",51543.9409914613
22409,"61-120",41307.5623525642
22409,"<30",90871.4952480048
22409,">180",9014.3143662326
23450,"121-180",10702.4487386607
23450,"31-60",5308.06301780418
23450,"61-120",44808.9021885917
23450,"<30",139362.31863112
23450,">180",5955.40330688283
23530,"121-180",10690.1751883514
23530,"31-60",4826.42124617472
23530,"61-120",45158.8043521196
23530,"<30",139480.038010821
23530,">180",5981.6970855929
23697,"121-180",8997.31000095233
23697,"31-60",44574.8839492537
23697,"61-120",141722.789623007
23697,"<30",5425.7741709426
23697,">180",5416.37813890353
23698,"121-180",33375.7459928356
23698,"31-60",2082.41638919339
23698,"61-120",148967.554031439
23698,"<30",295.185152798891
23698,">180",21416.2343167923
23699,"121-180",20802.5127789788
23699,"31-60",15087.4654646143
23699,"61-120",158510.063257396
23699,"<30",3992.1818866618
23699,">180",7744.91249540821
24499,"121-180",10690.1751883514
24499,"31-60",4826.42124617472
24499,"61-120",45158.8043521196
24499,"<30",139480.038010821
24499,">180",5981.6970855929
24934,"121-180",10120.5095202811
24934,"31-60",5039.35302555934
24934,"61-120",45447.4631948546
24934,"<30",139581.275262177
24934,">180",5948.53488018736
24965,"121-180",10562.6990384795
24965,"31-60",4958.28065988794
24965,"61-120",45149.0194983482
24965,"<30",138783.059289686
24965,">180",6684.07739665732
24970,"121-180",10900.4471223094
24970,"31-60",5353.85105853155
24970,"61-120",44632.9634506479
24970,"<30",139284.691387549
24970,">180",5965.18286402151
24972,"121-180",7760.41013167053
24972,"31-60",12276.0639401674
24972,"61-120",169752.466877669
24972,"<30",11394.7155722007
24972,">180",4953.47936135158
25035,"121-180",10677.9364314564
25035,"31-60",5175.44052806124
25035,"61-120",44717.0572864786
25035,"<30",139585.00455147
25035,">180",5981.6970855929
25139,"121-180",10515.7640043236
25139,"31-60",5071.63955753669
25139,"61-120",45109.735231474
25139,"<30",139496.921106562
25139,">180",5943.07598316297
25423,"121-180",43275.4688310437
25423,"31-60",132.40272847563
25423,"61-120",140362.928410798
25423,"<30",41.8639160692692
25423,">180",22324.4719966725
25558,"121-180",15652.6115365289
25558,"31-60",63084.2222397327
25558,"61-120",116674.59201593
25558,"<30",0
25558,">180",10725.7100908682
26397,"121-180",8547.04876206443
26397,"31-60",25704.0306246094
26397,"61-120",162769.302330352
26397,"<30",3317.31860361248
26397,">180",5799.43556242064
28456,"121-180",17949.1755908318
28456,"31-60",137965.728802223
28456,"61-120",39858.190971233
28456,"<30",224.683753699064
28456,">180",10139.3567650728
29293,"121-180",10900.4471223094
29293,"31-60",5353.85105853155
29293,"61-120",44632.9634506479
29293,"<30",139284.691387549
29293,">180",5965.18286402151
29294,"121-180",10801.6613588147
29294,"31-60",5128.90701269731
29294,"61-120",44952.179733634
29294,"<30",139267.808291808
29294,">180",5986.57948610559
29309,"121-180",10690.1751883514
29309,"31-60",4826.42124617472
29309,"61-120",45158.8043521196
29309,"<30",139480.038010821
29309,">180",5981.6970855929
